Launch Date,Recalls Number,Make,Recalls Model Information,Concern,Defect,Remedy,Vehicle Numbers,Manufacturer Ref,Model,VIN Start,VIN End,Build Start,Build End,groupe,Date,Groupe,Valeur action
1992-05-05,R/1992/015,ford,Granada and Scorpio,OWNERS HANDBOOK SUPPLEMENT REGARDING USE OF JACK,The vehicle may have been supplied with a different jack to that illustrated in the owner's handbook. This may cause the jack to be used in an incorrect manner.,To issue all owners/operators of affected vehicles with a supplement to the owner's handbook. This will incorporate additional diagrams and operating instructions to match the jack supplied with the vehicle.,68410,,GRANADA,1988 JB JR JA JG JC JK JD JE JL JY JS JT,,01/01/1988,31/12/1989,Ford Motor Company,1992-05-05,Ford Motor Company,0.000346426609695906
1992-05-05,R/1992/015,ford,Granada and Scorpio,OWNERS HANDBOOK SUPPLEMENT REGARDING USE OF JACK,The vehicle may have been supplied with a different jack to that illustrated in the owner's handbook. This may cause the jack to be used in an incorrect manner.,To issue all owners/operators of affected vehicles with a supplement to the owner's handbook. This will incorporate additional diagrams and operating instructions to match the jack supplied with the vehicle.,68410,,SCORPIO,1989 KJ KU KM KP KB KR KA KG KC KK KD KE,,01/01/1988,31/12/1989,Ford Motor Company,1992-05-05,Ford Motor Company,0.000346426609695906
1992-05-14,R/1992/018,ford,Escort Cabriolet,FRACTURE OF HORN BRACKET,The mounting bracket for the dual horns may fracture and allow the horns to fall from the vehicle. As well as presenting a possible hazard to other traffic this could result in the steering being momentarily affected should the vehicle run over the,Recall affected vehicles and replace the original horn bracket with a stronger version.,3007,,,1991 MC MK MD ME ML MY,,01/01/1990,05/06/1991,Ford Motor Company,1992-05-14,Ford Motor Company,0.02058718711200773
1992-05-14,R/1992/018,ford,Escort Cabriolet,FRACTURE OF HORN BRACKET,The mounting bracket for the dual horns may fracture and allow the horns to fall from the vehicle. As well as presenting a possible hazard to other traffic this could result in the steering being momentarily affected should the vehicle run over the,Recall affected vehicles and replace the original horn bracket with a stronger version.,3007,,ESCORT,1990 LL LY LS LT LJ LU LM LP LB LR LA LG,,01/01/1990,05/06/1991,Ford Motor Company,1992-05-14,Ford Motor Company,0.02058718711200773
1992-06-30,R/1992/038,ford,Escort and Orion fitted with ABS,BRAKE PIPES CHAFING,It is possible that certain brake pipes may not be secured to the vehicle underbody and may chafe on the front stabiliser bar. This could result in loss of brake fluid and reduced braking efficiency.,Recall the affected vehicles. Re-route and secure the subject brake pipes using additional clips. Damaged brake pipes will be replaced where required,2041,,,1992: NB NR NA NG.,,01/07/1990,06/04/1992,Ford Motor Company,1992-06-30,Ford Motor Company,0.0032253344827539053
1992-06-30,R/1992/038,ford,Escort and Orion fitted with ABS,BRAKE PIPES CHAFING,It is possible that certain brake pipes may not be secured to the vehicle underbody and may chafe on the front stabiliser bar. This could result in loss of brake fluid and reduced braking efficiency.,Recall the affected vehicles. Re-route and secure the subject brake pipes using additional clips. Damaged brake pipes will be replaced where required,2041,,ORION,1991: MC MK MD ME ML MY MS MT MJ MU MM MP,,01/07/1990,06/04/1992,Ford Motor Company,1992-06-30,Ford Motor Company,0.0032253344827539053
1992-06-30,R/1992/038,ford,Escort and Orion fitted with ABS,BRAKE PIPES CHAFING,It is possible that certain brake pipes may not be secured to the vehicle underbody and may chafe on the front stabiliser bar. This could result in loss of brake fluid and reduced braking efficiency.,Recall the affected vehicles. Re-route and secure the subject brake pipes using additional clips. Damaged brake pipes will be replaced where required,2041,,ESCORT,1990: LM LP LB LR LA LG,,01/07/1990,06/04/1992,Ford Motor Company,1992-06-30,Ford Motor Company,0.0032253344827539053
1992-08-26,R/1992/049,ford,Granada and Scorpio,POSSIBLE CHAFING OF BATTERY CABLE,It is possible that the battery cable may have been inadequately secured. This could allow the cable to chafe in the vicinity of an aperture in the secondary bulkhead and may result in a short circuit and in extreme cases damage to the battery cable.,Recall the affected vehicles to inspect and where necessary rework the battery cable.,9465,,GRANADA,1992 NB NR NA NG NC,,01/01/1992,31/05/1992,Ford Motor Company,1992-08-26,Ford Motor Company,0.004883013336896219
1992-08-26,R/1992/049,ford,Granada and Scorpio,POSSIBLE CHAFING OF BATTERY CABLE,It is possible that the battery cable may have been inadequately secured. This could allow the cable to chafe in the vicinity of an aperture in the secondary bulkhead and may result in a short circuit and in extreme cases damage to the battery cable.,Recall the affected vehicles to inspect and where necessary rework the battery cable.,9465,,SCORPIO,,,01/01/1992,31/05/1992,Ford Motor Company,1992-08-26,Ford Motor Company,0.004883013336896219
1992-09-25,R/1992/058,ford,Granada and Scorpio,BATTERY CABLE TERMINAL MAY TOUCH THE STARTER MOTOR SOLENOID,The battery cable terminal may touch the starter motor solenoid body at the point of attachment to the starter motor. This could result in a short circuit.,Recall the affected vehicles and check the angle of attachment to the starter motor terminal. Where this is close to or touching the starter motor solenoid body it will be repositioned to ensure that adequate clearance is maintained.,139,,SCORPIO,,,01/09/1990,30/09/1991,Ford Motor Company,1992-09-25,Ford Motor Company,0.030458464220455943
